name de_dust2
sky 0.50 0.63 0.77
fog 0.56 0.64 0.73 0.013
light -0.42 -0.86 -0.28
# Generated by the arena map importer from a source map.

# ---- solids ----
box -34.248 4.970 -21.743 1.164 0.542 6.097 0.434 0.603 0.297
box -31.920 4.970 -21.743 1.164 0.542 6.097 0.434 0.603 0.297
box -34.830 5.512 -21.743 1.164 1.084 6.097 0.434 0.603 0.297
box -31.338 5.512 -21.743 1.164 1.084 6.097 0.434 0.603 0.297
box -35.412 6.054 -21.743 0.582 2.168 6.097 0.434 0.603 0.297
box -30.174 6.054 -21.743 0.582 2.168 6.097 0.434 0.603 0.297
box -34.830 6.595 -21.743 0.582 2.168 6.097 0.434 0.603 0.297
box -30.756 6.595 -21.743 0.582 2.168 6.097 0.434 0.603 0.297
box -34.248 7.679 -21.743 0.582 1.626 6.097 0.434 0.603 0.297
box -31.338 7.679 -21.743 0.582 1.626 6.097 0.434 0.603 0.297
box -33.666 8.763 -21.743 0.582 1.084 6.097 0.434 0.603 0.297
box -31.920 8.763 -21.743 0.582 0.542 6.097 0.434 0.603 0.297
box -33.084 9.305 -21.743 1.164 0.542 6.097 0.434 0.603 0.297
box -33.084 3.886 -21.133 1.164 0.542 4.877 0.434 0.603 0.297
box -34.830 4.428 -21.133 1.164 0.542 4.877 0.434 0.603 0.297
box -31.920 4.428 -21.133 1.746 0.542 4.877 0.434 0.603 0.297
box -34.830 4.970 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -30.756 4.970 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -35.412 5.512 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -30.174 5.512 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -35.412 8.221 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -30.174 8.221 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -34.830 8.763 -21.133 0.582 1.084 4.877 0.434 0.603 0.297
box -30.756 8.763 -21.133 0.582 1.084 4.877 0.434 0.603 0.297
box -34.248 9.305 -21.133 0.582 0.542 4.877 0.434 0.603 0.297
box -31.920 9.305 -21.133 1.164 0.542 4.877 0.434 0.603 0.297
box -33.084 9.847 -21.133 1.164 0.542 4.877 0.434 0.603 0.297
box -34.248 3.886 -20.523 1.164 0.542 3.658 0.434 0.603 0.297
box -31.920 3.886 -20.523 1.164 0.542 3.658 0.434 0.603 0.297
box -35.412 4.970 -20.523 0.582 0.542 3.658 0.434 0.603 0.297
box -30.174 4.970 -20.523 0.582 0.542 3.658 0.434 0.603 0.297
box -35.994 6.595 -20.523 0.582 1.084 3.658 0.434 0.603 0.297
box -29.592 6.595 -20.523 0.582 1.084 3.658 0.434 0.603 0.297
box -35.412 8.763 -20.523 0.582 0.542 3.658 0.434 0.603 0.297
box -30.174 8.763 -20.523 0.582 0.542 3.658 0.434 0.603 0.297
box -34.248 9.847 -20.523 1.164 0.542 3.658 0.434 0.603 0.297
box -31.920 9.847 -20.523 1.164 0.542 3.658 0.434 0.603 0.297
box -35.412 4.428 -19.914 0.582 0.542 2.439 0.434 0.603 0.297
box -35.994 5.512 -19.914 0.582 1.084 2.439 0.434 0.603 0.297
box -29.592 5.512 -19.914 0.582 1.084 2.439 0.434 0.603 0.297
box -35.994 7.679 -19.914 0.582 1.084 2.439 0.434 0.603 0.297
box -29.592 7.679 -19.914 0.582 1.084 2.439 0.434 0.603 0.297
box -35.412 9.305 -19.914 0.582 0.542 2.439 0.434 0.603 0.297
box -34.830 3.886 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -30.756 3.886 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -30.174 4.428 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -35.994 4.970 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -29.592 4.970 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -35.994 8.763 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -29.592 8.763 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -30.174 9.305 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -34.830 9.847 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -30.756 9.847 -19.304 0.582 0.542 1.219 0.434 0.603 0.297
box -20.079 4.970 -6.909 1.164 4.335 7.316 0.434 0.603 0.297
box -20.661 5.511 -6.909 0.582 3.251 7.316 0.434 0.603 0.297
box -18.915 5.511 -6.909 0.582 3.251 7.316 0.434 0.603 0.297
box -21.243 6.595 -6.909 0.582 1.084 7.316 0.434 0.603 0.297
box -18.333 6.595 -6.909 0.582 1.084 7.316 0.434 0.603 0.297
box -20.661 4.428 -6.300 1.746 0.542 6.097 0.434 0.603 0.297
box -21.243 4.970 -6.300 1.164 0.542 6.097 0.434 0.603 0.297
box -18.915 4.970 -6.300 1.164 0.542 6.097 0.434 0.603 0.297
box -21.825 5.511 -6.300 1.164 1.084 6.097 0.434 0.603 0.297
box -18.333 5.511 -6.300 1.164 1.084 6.097 0.434 0.603 0.297
box -22.407 6.053 -6.300 0.582 2.168 6.097 0.434 0.603 0.297
box -17.169 6.053 -6.300 0.582 2.168 6.097 0.434 0.603 0.297
box -21.825 6.595 -6.300 0.582 2.168 6.097 0.434 0.603 0.297
box -17.751 6.595 -6.300 0.582 2.168 6.097 0.434 0.603 0.297
box -21.243 7.679 -6.300 0.582 1.626 6.097 0.434 0.603 0.297
box -18.333 7.679 -6.300 0.582 1.626 6.097 0.434 0.603 0.297
box -20.661 8.763 -6.300 0.582 1.084 6.097 0.434 0.603 0.297
box -18.915 8.763 -6.300 0.582 0.542 6.097 0.434 0.603 0.297
box -20.079 9.305 -6.300 1.164 0.542 6.097 0.434 0.603 0.297
box -20.079 3.886 -5.690 1.164 0.542 4.877 0.434 0.603 0.297
box -21.825 4.428 -5.690 1.164 0.542 4.877 0.434 0.603 0.297
box -18.915 4.428 -5.690 1.746 0.542 4.877 0.434 0.603 0.297
box -21.825 4.970 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -17.751 4.970 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -22.407 5.511 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -17.169 5.511 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -22.407 8.221 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -17.169 8.221 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -21.825 8.763 -5.690 0.582 1.084 4.877 0.434 0.603 0.297
box -17.751 8.763 -5.690 0.582 1.084 4.877 0.434 0.603 0.297
box -21.243 9.305 -5.690 0.582 0.542 4.877 0.434 0.603 0.297
box -18.915 9.305 -5.690 1.164 0.542 4.877 0.434 0.603 0.297
box -20.079 9.847 -5.690 1.164 0.542 4.877 0.434 0.603 0.297
box -21.243 3.886 -5.080 1.164 0.542 3.658 0.434 0.603 0.297
box -18.915 3.886 -5.080 1.164 0.542 3.658 0.434 0.603 0.297
box -22.407 4.970 -5.080 0.582 0.542 3.658 0.434 0.603 0.297
box -17.169 4.970 -5.080 0.582 0.542 3.658 0.434 0.603 0.297
box -22.989 6.595 -5.080 0.582 1.084 3.658 0.434 0.603 0.297
box -16.587 6.595 -5.080 0.582 1.084 3.658 0.434 0.603 0.297
box -22.407 8.763 -5.080 0.582 0.542 3.658 0.434 0.603 0.297
box -17.169 8.763 -5.080 0.582 0.542 3.658 0.434 0.603 0.297
box -21.243 9.847 -5.080 1.164 0.542 3.658 0.434 0.603 0.297
box -18.915 9.847 -5.080 1.164 0.542 3.658 0.434 0.603 0.297
box -22.407 4.428 -4.471 0.582 0.542 2.439 0.434 0.603 0.297
box -22.989 5.511 -4.471 0.582 1.084 2.439 0.434 0.603 0.297
box -16.587 5.511 -4.471 0.582 1.084 2.439 0.434 0.603 0.297
box -22.989 7.679 -4.471 0.582 1.084 2.439 0.434 0.603 0.297
box -16.587 7.679 -4.471 0.582 1.084 2.439 0.434 0.603 0.297
box -22.407 9.305 -4.471 0.582 0.542 2.439 0.434 0.603 0.297
box -21.825 3.886 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -17.751 3.886 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -17.169 4.428 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -22.989 4.970 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -16.587 4.970 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -22.989 8.763 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -16.587 8.763 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -17.169 9.305 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -21.825 9.847 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -17.751 9.847 -3.861 0.582 0.542 1.219 0.434 0.603 0.297
box -32.982 4.970 -0.610 1.164 4.335 7.316 0.434 0.603 0.297
box -33.564 5.512 -0.610 0.582 3.251 7.316 0.434 0.603 0.297
box -31.818 5.512 -0.610 0.582 3.251 7.316 0.434 0.603 0.297
box -34.146 6.596 -0.610 0.582 1.084 7.316 0.434 0.603 0.297
box -31.237 6.596 -0.610 0.582 1.084 7.316 0.434 0.603 0.297
box -33.564 4.428 -0.000 1.746 0.542 6.097 0.434 0.603 0.297
box -34.146 4.970 -0.000 1.164 0.542 6.097 0.434 0.603 0.297
box -31.818 4.970 -0.000 1.164 0.542 6.097 0.434 0.603 0.297
box -34.728 5.512 -0.000 1.164 1.084 6.097 0.434 0.603 0.297
box -31.237 5.512 -0.000 1.164 1.084 6.097 0.434 0.603 0.297
box -35.310 6.054 -0.000 0.582 2.168 6.097 0.434 0.603 0.297
box -30.073 6.054 -0.000 0.582 2.168 6.097 0.434 0.603 0.297
box -34.728 6.596 -0.000 0.582 2.168 6.097 0.434 0.603 0.297
box -30.655 6.596 -0.000 0.582 2.168 6.097 0.434 0.603 0.297
box -34.146 7.679 -0.000 0.582 1.626 6.097 0.434 0.603 0.297
box -31.237 7.679 -0.000 0.582 1.626 6.097 0.434 0.603 0.297
box -33.564 8.763 -0.000 0.582 1.084 6.097 0.434 0.603 0.297
box -31.818 8.763 -0.000 0.582 0.542 6.097 0.434 0.603 0.297
box -32.982 9.305 -0.000 1.164 0.542 6.097 0.434 0.603 0.297
box -32.982 3.886 0.609 1.164 0.542 4.877 0.434 0.603 0.297
box -34.728 4.428 0.609 1.164 0.542 4.877 0.434 0.603 0.297
box -31.818 4.428 0.609 1.746 0.542 4.877 0.434 0.603 0.297
box -34.728 4.970 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -30.655 4.970 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -35.310 5.512 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -30.073 5.512 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -35.310 8.221 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -30.073 8.221 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -34.728 8.763 0.609 0.582 1.084 4.877 0.434 0.603 0.297
box -30.655 8.763 0.609 0.582 1.084 4.877 0.434 0.603 0.297
box -34.146 9.305 0.609 0.582 0.542 4.877 0.434 0.603 0.297
box -31.818 9.305 0.609 1.164 0.542 4.877 0.434 0.603 0.297
box -32.982 9.847 0.609 1.164 0.542 4.877 0.434 0.603 0.297
box -34.146 3.886 1.219 1.164 0.542 3.658 0.434 0.603 0.297
box -31.818 3.886 1.219 1.164 0.542 3.658 0.434 0.603 0.297
box -35.310 4.970 1.219 0.582 0.542 3.658 0.434 0.603 0.297
box -30.073 4.970 1.219 0.582 0.542 3.658 0.434 0.603 0.297
box -35.892 6.596 1.219 0.582 1.084 3.658 0.434 0.603 0.297
box -29.491 6.596 1.219 0.582 1.084 3.658 0.434 0.603 0.297
box -35.310 8.763 1.219 0.582 0.542 3.658 0.434 0.603 0.297
box -30.073 8.763 1.219 0.582 0.542 3.658 0.434 0.603 0.297
box -34.146 9.847 1.219 1.164 0.542 3.658 0.434 0.603 0.297
box -31.818 9.847 1.219 1.164 0.542 3.658 0.434 0.603 0.297
box -35.310 4.428 1.829 0.582 0.542 2.439 0.434 0.603 0.297
box -35.892 5.512 1.829 0.582 1.084 2.439 0.434 0.603 0.297
box -29.491 5.512 1.829 0.582 1.084 2.439 0.434 0.603 0.297
box -35.892 7.679 1.829 0.582 1.084 2.439 0.434 0.603 0.297
box -29.491 7.679 1.829 0.582 1.084 2.439 0.434 0.603 0.297
box -35.310 9.305 1.829 0.582 0.542 2.439 0.434 0.603 0.297
box -34.728 3.886 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -30.655 3.886 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -30.073 4.428 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -35.892 4.970 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -29.491 4.970 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -35.892 8.763 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -29.491 8.763 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -30.073 9.305 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -34.728 9.847 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -30.655 9.847 2.438 0.582 0.542 1.219 0.434 0.603 0.297
box -52.794 4.969 -22.556 1.164 4.336 7.316 0.434 0.603 0.297
box -53.376 5.511 -22.556 0.582 3.252 7.316 0.434 0.603 0.297
box -51.630 5.511 -22.556 0.582 3.252 7.316 0.434 0.603 0.297
box -53.958 6.595 -22.556 0.582 1.084 7.316 0.434 0.603 0.297
box -51.049 6.595 -22.556 0.582 1.084 7.316 0.434 0.603 0.297
box -53.376 4.427 -21.946 1.746 0.542 6.097 0.434 0.603 0.297
box -53.958 4.969 -21.946 1.164 0.542 6.097 0.434 0.603 0.297
box -51.630 4.969 -21.946 1.164 0.542 6.097 0.434 0.603 0.297
box -54.540 5.511 -21.946 1.164 1.084 6.097 0.434 0.603 0.297
box -51.049 5.511 -21.946 1.164 1.084 6.097 0.434 0.603 0.297
box -55.122 6.053 -21.946 0.582 2.168 6.097 0.434 0.603 0.297
box -49.885 6.053 -21.946 0.582 2.168 6.097 0.434 0.603 0.297
box -54.540 6.595 -21.946 0.582 2.168 6.097 0.434 0.603 0.297
box -50.467 6.595 -21.946 0.582 2.168 6.097 0.434 0.603 0.297
box -53.958 7.679 -21.946 0.582 1.626 6.097 0.434 0.603 0.297
box -51.049 7.679 -21.946 0.582 1.626 6.097 0.434 0.603 0.297
box -53.376 8.763 -21.946 0.582 1.084 6.097 0.434 0.603 0.297
box -51.630 8.763 -21.946 0.582 0.542 6.097 0.434 0.603 0.297
box -52.794 9.305 -21.946 1.164 0.542 6.097 0.434 0.603 0.297
box -52.794 3.885 -21.336 1.164 0.542 4.877 0.434 0.603 0.297
box -54.540 4.427 -21.336 1.164 0.542 4.877 0.434 0.603 0.297
box -51.630 4.427 -21.336 1.746 0.542 4.877 0.434 0.603 0.297
box -54.540 4.969 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -50.467 4.969 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -55.122 5.511 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -49.885 5.511 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -55.122 8.221 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -49.885 8.221 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -54.540 8.763 -21.336 0.582 1.084 4.877 0.434 0.603 0.297
box -50.467 8.763 -21.336 0.582 1.084 4.877 0.434 0.603 0.297
box -53.958 9.305 -21.336 0.582 0.542 4.877 0.434 0.603 0.297
box -51.630 9.305 -21.336 1.164 0.542 4.877 0.434 0.603 0.297
box -52.794 9.847 -21.336 1.164 0.542 4.877 0.434 0.603 0.297
box -53.958 3.885 -20.727 1.164 0.542 3.658 0.434 0.603 0.297
box -51.630 3.885 -20.727 1.164 0.542 3.658 0.434 0.603 0.297
box -55.122 4.969 -20.727 0.582 0.542 3.658 0.434 0.603 0.297
box -49.885 4.969 -20.727 0.582 0.542 3.658 0.434 0.603 0.297
box -55.704 6.595 -20.727 0.582 1.084 3.658 0.434 0.603 0.297
box -49.303 6.595 -20.727 0.582 1.084 3.658 0.434 0.603 0.297
box -55.122 8.763 -20.727 0.582 0.542 3.658 0.434 0.603 0.297
box -49.885 8.763 -20.727 0.582 0.542 3.658 0.434 0.603 0.297
box -53.958 9.847 -20.727 1.164 0.542 3.658 0.434 0.603 0.297
box -51.630 9.847 -20.727 1.164 0.542 3.658 0.434 0.603 0.297
box -55.122 4.427 -20.117 0.582 0.542 2.439 0.434 0.603 0.297
box -55.704 5.511 -20.117 0.582 1.084 2.439 0.434 0.603 0.297
box -49.303 5.511 -20.117 0.582 1.084 2.439 0.434 0.603 0.297
box -55.704 7.679 -20.117 0.582 1.084 2.439 0.434 0.603 0.297
box -49.303 7.679 -20.117 0.582 1.084 2.439 0.434 0.603 0.297
box -55.122 9.305 -20.117 0.582 0.542 2.439 0.434 0.603 0.297
box -54.540 3.885 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -50.467 3.885 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -49.885 4.427 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -55.704 4.969 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -49.303 4.969 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -55.704 8.763 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -49.303 8.763 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -49.885 9.305 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -54.540 9.847 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -50.467 9.847 -19.507 0.582 0.542 1.219 0.434 0.603 0.297
box -48.114 8.890 -38.292 11.706 2.211 18.110 0.434 0.603 0.297
box -48.114 11.100 -38.292 10.242 0.737 16.600 0.434 0.603 0.297
box -46.651 11.837 -38.292 8.779 1.474 18.110 0.434 0.603 0.297
box -49.577 8.890 -36.783 1.463 2.948 13.582 0.434 0.603 0.297
box -36.409 8.890 -36.783 1.463 2.211 15.091 0.434 0.603 0.297
box -37.872 11.100 -36.783 1.463 2.211 15.091 0.434 0.603 0.297
box -48.114 11.837 -36.783 1.463 1.474 15.091 0.434 0.603 0.297
box -46.651 13.311 -36.783 8.779 1.474 15.091 0.434 0.603 0.297
box -45.188 14.785 -36.783 5.853 0.737 15.091 0.434 0.603 0.297
box -51.041 8.890 -35.274 1.463 2.948 10.564 0.434 0.603 0.297
box -34.945 8.890 -35.274 1.463 2.211 12.073 0.434 0.603 0.297
box -36.409 11.100 -35.274 1.463 2.211 12.073 0.434 0.603 0.297
box -49.577 11.837 -35.274 1.463 1.474 12.073 0.434 0.603 0.297
box -48.114 13.311 -35.274 1.463 1.474 12.073 0.434 0.603 0.297
box -37.872 13.311 -35.274 1.463 1.474 12.073 0.434 0.603 0.297
box -46.651 14.785 -35.274 1.463 1.474 10.564 0.434 0.603 0.297
box -39.335 14.785 -35.274 1.463 0.737 12.073 0.434 0.603 0.297
box -45.188 15.522 -35.274 5.853 0.737 12.073 0.434 0.603 0.297
box -34.945 11.100 -33.765 1.463 2.211 9.055 0.434 0.603 0.297
box -51.041 11.837 -33.765 1.463 1.474 9.055 0.434 0.603 0.297
box -49.577 13.311 -33.765 1.463 1.474 9.055 0.434 0.603 0.297
box -36.409 13.311 -33.765 1.463 1.474 9.055 0.434 0.603 0.297
box -48.114 14.785 -33.765 1.463 1.474 7.546 0.434 0.603 0.297
box -37.872 14.785 -33.765 1.463 0.737 9.055 0.434 0.603 0.297
box -39.335 15.522 -33.765 1.463 1.474 9.055 0.434 0.603 0.297
box -46.651 16.259 -33.765 7.316 0.737 9.055 0.434 0.603 0.297
box -43.725 16.996 -33.765 2.926 0.737 9.055 0.434 0.603 0.297
box -49.577 14.785 -32.256 1.463 0.737 6.037 0.434 0.603 0.297
box -36.409 14.785 -32.256 1.463 0.737 6.037 0.434 0.603 0.297
box -37.872 15.522 -32.256 1.463 0.737 7.546 0.434 0.603 0.297
box -45.188 16.996 -32.256 1.463 0.737 6.037 0.434 0.603 0.297
box -40.798 16.996 -32.256 1.463 0.737 6.037 0.434 0.603 0.297
box -46.651 16.996 -30.747 1.463 0.737 3.018 0.434 0.603 0.297
box -39.335 16.996 -30.747 1.463 0.737 3.018 0.434 0.603 0.297
box -48.114 14.785 -26.219 1.463 0.737 1.509 0.434 0.603 0.297
box -51.041 8.890 -24.710 1.463 2.211 1.509 0.434 0.603 0.297
box -34.945 11.100 -24.710 1.463 0.737 1.509 0.434 0.603 0.297
box -46.651 14.785 -24.710 1.463 0.737 1.509 0.434 0.603 0.297
box -39.335 15.522 -24.710 1.463 0.737 1.509 0.434 0.603 0.297
box -49.577 8.890 -23.201 1.463 2.211 1.509 0.434 0.603 0.297
box -36.409 11.100 -23.201 1.463 0.737 1.509 0.434 0.603 0.297
box -46.651 11.100 -21.692 10.242 0.737 1.509 0.434 0.603 0.297
box -30.965 6.603 -52.117 11.961 2.048 18.511 0.434 0.603 0.297
box -30.965 8.651 -52.117 10.466 0.683 16.969 0.434 0.603 0.297
box -29.470 9.333 -52.117 8.971 1.365 18.511 0.434 0.603 0.297
box -32.460 6.603 -50.575 1.495 2.731 13.883 0.434 0.603 0.297
box -19.004 6.603 -50.575 1.495 2.048 15.426 0.434 0.603 0.297
box -20.499 8.651 -50.575 1.495 2.048 15.426 0.434 0.603 0.297
box -30.965 9.333 -50.575 1.495 2.048 13.883 0.434 0.603 0.297
box -29.470 10.699 -50.575 8.971 2.048 15.426 0.434 0.603 0.297
box -33.955 6.603 -49.032 1.495 2.731 10.798 0.434 0.603 0.297
box -17.509 6.603 -49.032 1.495 2.048 12.341 0.434 0.603 0.297
box -19.004 8.651 -49.032 1.495 2.048 12.341 0.434 0.603 0.297
box -32.460 9.333 -49.032 1.495 2.048 10.798 0.434 0.603 0.297
box -20.499 10.699 -49.032 1.495 1.365 12.341 0.434 0.603 0.297
box -30.965 11.381 -49.032 1.495 1.365 12.341 0.434 0.603 0.297
box -29.470 12.746 -49.032 8.971 0.683 12.341 0.434 0.603 0.297
box -27.974 13.429 -49.032 2.990 0.683 10.798 0.434 0.603 0.297
box -17.509 8.651 -47.489 1.495 2.048 9.256 0.434 0.603 0.297
box -33.955 9.333 -47.489 1.495 1.365 9.256 0.434 0.603 0.297
box -19.004 10.699 -47.489 1.495 1.365 9.256 0.434 0.603 0.297
box -32.460 11.381 -47.489 1.495 1.365 9.256 0.434 0.603 0.297
box -20.499 12.064 -47.489 1.495 1.365 9.256 0.434 0.603 0.297
box -30.965 12.746 -47.489 1.495 0.683 9.256 0.434 0.603 0.297
box -29.470 13.429 -47.489 1.495 0.683 9.256 0.434 0.603 0.297
box -24.984 13.429 -47.489 4.485 0.683 9.256 0.434 0.603 0.297
box -27.974 14.112 -47.489 5.980 0.683 9.256 0.434 0.603 0.297
box -19.004 12.064 -45.947 1.495 0.683 7.713 0.434 0.603 0.297
box -29.470 14.112 -45.947 1.495 0.683 6.170 0.434 0.603 0.297
box -21.994 14.112 -45.947 1.495 0.683 6.170 0.434 0.603 0.297
box -33.955 6.603 -38.234 1.495 2.048 1.543 0.434 0.603 0.297
box -17.509 8.651 -38.234 1.495 0.683 1.543 0.434 0.603 0.297
box -32.460 9.333 -38.234 1.495 1.365 1.543 0.434 0.603 0.297
box -19.004 10.699 -38.234 1.495 0.683 1.543 0.434 0.603 0.297
box -20.499 12.064 -38.234 1.495 0.683 1.543 0.434 0.603 0.297
box -24.984 13.429 -38.234 2.990 0.683 1.543 0.434 0.603 0.297
box -32.460 6.603 -36.691 1.495 2.048 1.543 0.434 0.603 0.297
box -19.004 8.651 -36.691 1.495 0.683 1.543 0.434 0.603 0.297
box -30.965 9.333 -36.691 1.495 1.365 1.543 0.434 0.603 0.297
box -20.499 10.699 -36.691 1.495 0.683 1.543 0.434 0.603 0.297
box -29.470 8.651 -35.149 10.466 0.683 1.543 0.434 0.603 0.297
box -23.489 10.699 -35.149 2.990 0.683 1.543 0.434 0.603 0.297
box -6.868 7.318 -6.431 7.275 1.321 11.257 0.434 0.603 0.297
box -6.868 8.639 -6.431 6.366 0.881 10.319 0.434 0.603 0.297
box -5.959 9.520 -6.431 5.456 0.440 11.257 0.434 0.603 0.297
box -5.959 9.960 -6.431 2.728 0.440 10.319 0.434 0.603 0.297
box -7.778 7.318 -5.493 0.909 2.202 8.443 0.434 0.603 0.297
box 0.407 7.318 -5.493 0.909 0.881 9.381 0.434 0.603 0.297
box -0.502 8.639 -5.493 0.909 1.321 9.381 0.434 0.603 0.297
box -6.868 9.520 -5.493 0.909 0.881 8.443 0.434 0.603 0.297
box -3.231 9.960 -5.493 2.728 1.321 9.381 0.434 0.603 0.297
box -5.959 10.401 -5.493 2.728 0.881 9.381 0.434 0.603 0.297
box -8.687 7.318 -4.555 0.909 2.202 6.567 0.434 0.603 0.297
box 1.316 7.318 -4.555 0.909 0.881 7.505 0.434 0.603 0.297
box 0.407 8.199 -4.555 0.909 1.761 7.505 0.434 0.603 0.297
box -7.778 9.520 -4.555 0.909 0.881 6.567 0.434 0.603 0.297
box -0.502 9.960 -4.555 0.909 1.321 7.505 0.434 0.603 0.297
box -6.868 10.401 -4.555 0.909 0.881 7.505 0.434 0.603 0.297
box -5.959 11.281 -4.555 5.456 0.440 7.505 0.434 0.603 0.297
box -5.049 11.721 -4.555 3.638 0.440 7.505 0.434 0.603 0.297
box 1.316 8.199 -3.617 0.909 1.761 5.629 0.434 0.603 0.297
box -8.687 9.520 -3.617 0.909 0.881 3.752 0.434 0.603 0.297
box 0.407 9.960 -3.617 0.909 1.321 5.629 0.434 0.603 0.297
box -7.778 10.401 -3.617 0.909 0.881 5.629 0.434 0.603 0.297
box -6.868 11.281 -3.617 0.909 0.440 5.629 0.434 0.603 0.297
box -0.502 11.281 -3.617 0.909 0.440 5.629 0.434 0.603 0.297
box -5.959 11.721 -3.617 0.909 0.440 5.629 0.434 0.603 0.297
box -1.412 11.721 -3.617 0.909 0.440 5.629 0.434 0.603 0.297
box -5.049 12.162 -3.617 3.638 0.440 5.629 0.434 0.603 0.297
box -6.868 11.721 -2.679 0.909 0.440 3.752 0.434 0.603 0.297
box -0.502 11.721 -2.679 0.909 0.440 3.752 0.434 0.603 0.297
box -5.959 12.162 -2.679 0.909 0.440 3.752 0.434 0.603 0.297
box -1.412 12.162 -2.679 0.909 0.440 3.752 0.434 0.603 0.297
box -8.687 9.520 0.135 0.909 0.440 1.876 0.434 0.603 0.297
box 1.316 9.960 0.135 0.909 0.440 1.876 0.434 0.603 0.297
box -8.687 7.318 2.012 0.909 1.321 0.938 0.434 0.603 0.297
box 1.316 8.199 2.012 0.909 0.881 0.938 0.434 0.603 0.297
box -7.778 9.520 2.012 0.909 0.440 0.938 0.434 0.603 0.297
box 0.407 9.960 2.012 0.909 0.440 0.938 0.434 0.603 0.297
box -7.778 7.318 2.950 0.909 1.321 0.938 0.434 0.603 0.297
box 0.407 8.199 2.950 0.909 0.881 0.938 0.434 0.603 0.297
box -6.868 9.520 2.950 0.909 0.440 0.938 0.434 0.603 0.297
box -0.502 9.960 2.950 0.909 0.440 0.938 0.434 0.603 0.297
box -5.959 8.639 3.888 6.366 0.440 0.938 0.434 0.603 0.297
box -5.959 9.080 3.888 5.456 0.440 0.938 0.434 0.603 0.297
box -4.140 9.960 3.888 3.638 0.440 0.938 0.434 0.603 0.297
box 14.780 6.527 -31.368 0.719 0.169 1.198 0.434 0.603 0.297
box 15.019 6.697 -31.368 0.240 0.169 1.198 0.434 0.603 0.297
